freq,fx,gx,gy,hc,hs,l,lalti,lbes,lk,ls,luc,ol,ox,wfx,wiki,wk,wx,wy,real,ima,mag,db
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,60.0,28.0,3.0,6.0,34.0,100.0,100.0,-0.13283364474773407,-0.009808031842112541,0.13319525016149455,-17.510225242868916
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,60.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.2612380087375641,-0.06265894323587418,0.2686474276381669,-11.416346270928495
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.29328277707099915,-0.05486682802438736,0.2983708366176813,-10.504872559307106
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.3221459984779358,-0.05237562581896782,0.3263759343384171,-9.72563743766184
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.33497998118400574,-0.047536514699459076,0.33833608738029813,-9.413033546204769
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.3433975279331207,-0.04287879168987274,0.34606423242999546,-9.216865700393049
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.26599881052970886,-0.048283908516168594,0.27034552525391964,-11.361616289003212
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.28851696848869324,-0.0466461181640625,0.2922634110621466,-10.684511025621575
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.30754736065864563,-0.0389726459980011,0.31000684860851796,-10.172574234280102
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.315795361995697,-0.034229740500450134,0.31764506259773895,-9.961157817008639
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.23976799845695496,-0.04102129116654396,0.24325180248669223,-12.278878658838758
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.2624974250793457,-0.039151497185230255,0.2654010887414213,-11.521945997674194
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.2757910192012787,-0.03515297546982765,0.2780223335569687,-11.118406315381788
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.2887503206729889,-0.024882381781935692,0.2898204282170184,-10.7574201240706
